hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,49.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,49.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
2,48.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,48.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,52.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,56.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
9,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,60.0,False,True,False,True,False,False,True,True,True,True,False,False,False,False
13,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,61.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
15,60.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False
16,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
18,57.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,56.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,56.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
